ModelWeb Browser Results

msis model listing
Required input parameters
Year= 2000, Month=  1, Day=  1, Hour= 0.00,
Time_type = Local
Coordinate_type = Geographic
Latitude=   69.58, Longitude=   19.23, Height=   100.00
Prof. parameters: Start=     0.00 Stop=  1000.00 Step=     1.00

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  O, cm-3 
3  N2, cm-3
4  O2, cm-3
5  He, cm-3 

1         2         3         4         5         
  283.0  7.042E+08  2.739E+08  1.613E+07  7.858E+06
  284.0  6.919E+08  2.658E+08  1.559E+07  7.823E+06
  285.0  6.798E+08  2.579E+08  1.507E+07  7.789E+06
  286.0  6.679E+08  2.503E+08  1.456E+07  7.755E+06
  287.0  6.563E+08  2.429E+08  1.407E+07  7.721E+06
  288.0  6.449E+08  2.358E+08  1.360E+07  7.687E+06
  289.0  6.337E+08  2.288E+08  1.314E+07  7.653E+06
  290.0  6.227E+08  2.221E+08  1.270E+07  7.619E+06
  291.0  6.119E+08  2.156E+08  1.228E+07  7.586E+06
  292.0  6.013E+08  2.092E+08  1.186E+07  7.553E+06
  293.0  5.909E+08  2.031E+08  1.147E+07  7.520E+06
  294.0  5.807E+08  1.971E+08  1.108E+07  7.487E+06
  295.0  5.707E+08  1.914E+08  1.071E+07  7.455E+06
  296.0  5.609E+08  1.858E+08  1.036E+07  7.422E+06
  297.0  5.513E+08  1.803E+08  1.001E+07  7.390E+06
  298.0  5.418E+08  1.750E+08  9.678E+06  7.358E+06
  299.0  5.325E+08  1.699E+08  9.355E+06  7.326E+06
  300.0  5.233E+08  1.650E+08  9.044E+06  7.295E+06
  301.0  5.143E+08  1.601E+08  8.743E+06  7.263E+06
  302.0  5.055E+08  1.555E+08  8.452E+06  7.232E+06
  303.0  4.969E+08  1.509E+08  8.171E+06  7.201E+06
  304.0  4.884E+08  1.465E+08  7.900E+06  7.170E+06
  305.0  4.800E+08  1.423E+08  7.638E+06  7.139E+06
  306.0  4.719E+08  1.381E+08  7.385E+06  7.108E+06
  307.0  4.638E+08  1.341E+08  7.140E+06  7.078E+06
  308.0  4.559E+08  1.302E+08  6.903E+06  7.047E+06
  309.0  4.482E+08  1.264E+08  6.675E+06  7.017E+06
  310.0  4.406E+08  1.228E+08  6.454E+06  6.987E+06
  311.0  4.331E+08  1.192E+08  6.240E+06  6.957E+06
  312.0  4.258E+08  1.157E+08  6.034E+06  6.928E+06
  313.0  4.186E+08  1.124E+08  5.835E+06  6.898E+06
  314.0  4.115E+08  1.091E+08  5.642E+06  6.869E+06
  315.0  4.045E+08  1.060E+08  5.456E+06  6.839E+06
  316.0  3.977E+08  1.029E+08  5.276E+06  6.810E+06
  317.0  3.910E+08  9.993E+07  5.102E+06  6.781E+06
  318.0  3.844E+08  9.704E+07  4.934E+06  6.753E+06
  319.0  3.779E+08  9.423E+07  4.772E+06  6.724E+06
  320.0  3.715E+08  9.151E+07  4.615E+06  6.695E+06
  321.0  3.653E+08  8.887E+07  4.463E+06  6.667E+06
  322.0  3.591E+08  8.631E+07  4.316E+06  6.639E+06
  323.0  3.531E+08  8.382E+07  4.174E+06  6.611E+06
  324.0  3.472E+08  8.141E+07  4.037E+06  6.583E+06
  325.0  3.414E+08  7.906E+07  3.905E+06  6.555E+06
  326.0  3.356E+08  7.679E+07  3.776E+06  6.528E+06
  327.0  3.300E+08  7.458E+07  3.653E+06  6.500E+06
  328.0  3.245E+08  7.243E+07  3.533E+06  6.473E+06
  329.0  3.191E+08  7.035E+07  3.417E+06  6.445E+06
  330.0  3.137E+08  6.833E+07  3.305E+06  6.418E+06
  331.0  3.085E+08  6.637E+07  3.197E+06  6.391E+06
  332.0  3.034E+08  6.446E+07  3.092E+06  6.365E+06
  333.0  2.983E+08  6.261E+07  2.991E+06  6.338E+06
  334.0  2.933E+08  6.082E+07  2.893E+06  6.311E+06
  335.0  2.884E+08  5.907E+07  2.799E+06  6.285E+06
  336.0  2.836E+08  5.738E+07  2.708E+06  6.259E+06
  337.0  2.789E+08  5.574E+07  2.619E+06  6.232E+06
  338.0  2.743E+08  5.414E+07  2.534E+06  6.206E+06
  339.0  2.697E+08  5.259E+07  2.451E+06  6.180E+06
  340.0  2.653E+08  5.109E+07  2.371E+06  6.155E+06
  341.0  2.608E+08  4.963E+07  2.294E+06  6.129E+06
  342.0  2.565E+08  4.821E+07  2.219E+06  6.103E+06
  343.0  2.523E+08  4.683E+07  2.147E+06  6.078E+06
  344.0  2.481E+08  4.550E+07  2.077E+06  6.053E+06
  345.0  2.440E+08  4.420E+07  2.009E+06  6.027E+06
  346.0  2.400E+08  4.294E+07  1.944E+06  6.002E+06
  347.0  2.360E+08  4.171E+07  1.881E+06  5.977E+06
  348.0  2.321E+08  4.053E+07  1.820E+06  5.953E+06
  349.0  2.283E+08  3.937E+07  1.761E+06  5.928E+06
  350.0  2.245E+08  3.825E+07  1.703E+06  5.903E+06
  351.0  2.208E+08  3.716E+07  1.648E+06  5.879E+06
  352.0  2.171E+08  3.610E+07  1.595E+06  5.854E+06
  353.0  2.136E+08  3.508E+07  1.543E+06  5.830E+06
  354.0  2.101E+08  3.408E+07  1.493E+06  5.806E+06
  355.0  2.066E+08  3.311E+07  1.445E+06  5.782E+06
  356.0  2.032E+08  3.217E+07  1.398E+06  5.758E+06
  357.0  1.999E+08  3.126E+07  1.353E+06  5.734E+06
  358.0  1.966E+08  3.037E+07  1.309E+06  5.711E+06
  359.0  1.933E+08  2.951E+07  1.266E+06  5.687E+06
  360.0  1.902E+08  2.867E+07  1.225E+06  5.664E+06
  361.0  1.870E+08  2.786E+07  1.186E+06  5.640E+06
