#    km   O [cm-3]  N2 [cm-3]  O2 [cm-3]  He [cm-3]
  235.2  1.022E+09  3.935E+08  2.475E+07  1.860E+07
  235.8  1.006E+09  3.834E+08  2.402E+07  1.853E+07
  236.4  9.907E+08  3.736E+08  2.332E+07  1.846E+07
  237.0  9.755E+08  3.641E+08  2.265E+07  1.839E+07
  237.6  9.606E+08  3.548E+08  2.199E+07  1.832E+07
  238.2  9.460E+08  3.457E+08  2.135E+07  1.825E+07
  238.8  9.316E+08  3.369E+08  2.073E+07  1.818E+07
  239.4  9.174E+08  3.283E+08  2.012E+07  1.811E+07
  240.0  9.035E+08  3.199E+08  1.954E+07  1.804E+07
  240.6  8.897E+08  3.118E+08  1.897E+07  1.798E+07
  241.2  8.762E+08  3.038E+08  1.842E+07  1.791E+07
  241.8  8.630E+08  2.961E+08  1.789E+07  1.784E+07
  242.4  8.499E+08  2.886E+08  1.737E+07  1.777E+07
  243.0  8.370E+08  2.813E+08  1.687E+07  1.771E+07
  243.6  8.244E+08  2.741E+08  1.638E+07  1.764E+07
  244.2  8.119E+08  2.672E+08  1.590E+07  1.757E+07
  244.8  7.997E+08  2.604E+08  1.544E+07  1.751E+07
  245.4  7.876E+08  2.538E+08  1.500E+07  1.744E+07
  246.0  7.758E+08  2.473E+08  1.457E+07  1.737E+07
  246.6  7.641E+08  2.411E+08  1.414E+07  1.731E+07
  247.2  7.526E+08  2.350E+08  1.374E+07  1.724E+07
  247.8  7.413E+08  2.290E+08  1.334E+07  1.718E+07
  248.4  7.302E+08  2.232E+08  1.296E+07  1.712E+07
  249.0  7.192E+08  2.176E+08  1.258E+07  1.705E+07
